District,Areas Region(km squared),Borough,Latitude,Longitude,Male Population,Female Population,Total Population
TEGALSARI,4.29,Surabaya Pusat,-7.2798481,112.7360686,50843,50873,101716
GENTENG,4.05,Surabaya Pusat,-7.2590879,112.7479862,29387,29886,59273
BUBUTAN,3.86,Surabaya Pusat,-7.249960000000001,112.73011000000001,50909,50903,101812
SIMOKERTO,2.59,Surabaya Pusat,-7.23865,112.75393999999999,48905,48808,97713
PABEAN CANTIKAN,6.8,Surabaya Utara,-7.21475,112.73011000000001,41419,40964,82383
SEMAMPIR,8.76,Surabaya Utara,-7.211460000000001,112.74501000000001,92390,90141,182531
KREMBANGAN,8.34,Surabaya Utara,-7.23015,112.72415,58136,57502,115638
KENJERAN,7.77,Surabaya Utara,-7.220269999999999,112.76884,74597,72160,146757
BULAK,6.72,Surabaya Utara,-7.23677,112.7897,20446,20196,40642
TAMBAKSARI,8.99,Surabaya Timur,-7.250439999999999,112.76884,108625,108475,217100
GUBENG,7.99,Surabaya Timur,-7.278910000000001,112.75393999999999,67403,69218,136621
RUNGKUT,21.08,Surabaya Timur,-7.31902,112.80458999999999,52120,51926,104046
TENGGILIS MEJOYO,5.52,Surabaya Timur,-7.32423,112.75393999999999,27386,27475,54861
GUNUNG ANYAR,9.71,Surabaya Timur,-7.339160000000001,112.80458999999999,26188,25932,52120
SUKOLILO,23.68,Surabaya Timur,-7.2881800000000005,112.81651000000001,52445,52448,104893
MULYOREJO,14.21,Surabaya Timur,-7.269310000000001,112.79268,41178,41595,82773
SAWAHAN,6.93,Surabaya Selatan,-7.26301,112.72117,100426,101295,201721
WONOKROMO,8.47,Surabaya Selatan,-7.30266,112.73308999999999,79629,80335,159964
KARANGPILANG,9.23,Surabaya Selatan,-7.33778,112.6884,35382,34940,70322
DUKUH PAKIS,9.94,Surabaya Selatan,-7.2968399999999995,112.70031999999999,29245,29184,58429
WIYUNG,12.46,Surabaya Selatan,-7.31526,112.68542,33220,32522,65742
WONOCOLO,6.77,Surabaya Selatan,-7.31982,112.74203,39299,39038,78337
GAYUNGAN,6.07,Surabaya Selatan,-7.330839999999999,112.72415,22104,21988,44092
JAMBANGAN,4.19,Surabaya Selatan,-7.32108,112.71818999999999,23986,23562,47548
TANDES,11.07,Surabaya Barat,-7.255439999999999,112.6735,44757,44712,89469
SUKOMANUNGGAL,9.23,Surabaya Barat,-7.26426,112.69734,49067,48842,97909
ASEMROWO,15.44,Surabaya Barat,-7.23469,112.68542,22068,20905,42973
BENOWO,23.73,Surabaya Barat,-7.226489999999999,112.64966000000001,28145,27609,55754
PAKAL,22.07,Surabaya Barat,-7.22835,112.61391,24716,23768,48484
LAKARSANTRI,18.99,Surabaya Barat,-7.316510000000001,112.66158,27042,26430,53472
SAMBIKEREP,23.68,Surabaya Barat,-7.276839999999999,112.64966000000001,29522,29044,58566
